Source 1 X=0.000000
40.000000 740.000000 0.445276
60.000000 740.000000 0.443132
80.000000 740.000000 0.440697
120.000000 740.000000 0.438193
140.000000 740.000000 0.434856
160.000000 740.000000 0.434251
180.000000 740.000000 0.434592
200.000000 740.000000 0.435633
240.000000 740.000000 0.440697
1840.000000 0.000000 1.588614
1740.000000 0.000000 1.521603
1680.000000 0.000000 1.477800
1640.000000 0.000000 1.445693
1620.000000 0.000000 1.416840
1580.000000 0.000000 1.386729
1560.000000 0.000000 1.368574
1540.000000 0.000000 1.345312
1500.000000 0.000000 1.317346
1480.000000 0.000000 1.302699
1460.000000 0.000000 1.282760
1440.000000 0.000000 1.268826
1440.000000 0.000000 1.266038
1420.000000 0.000000 1.247943
1420.000000 0.000000 1.246078
1400.000000 0.000000 1.233483
1400.000000 0.000000 1.232375
1420.000000 0.000000 1.240709
1420.000000 0.000000 1.246147
1440.000000 0.000000 1.253143
1460.000000 0.000000 1.264407
1480.000000 0.000000 1.283167
1500.000000 0.000000 1.300627
1560.000000 0.000000 1.330102
1580.000000 0.000000 1.348662
1660.000000 0.000000 1.398922
1740.000000 0.000000 1.455776
Reflector 2
X   Z   T
0.000000 780.000000 0.470106
40.000000 780.000000 0.464928
60.000000 780.000000 0.463065
80.000000 780.000000 0.461386
120.000000 780.000000 0.459594
140.000000 780.000000 0.458870
160.000000 780.000000 0.458250
180.000000 780.000000 0.458088
200.000000 780.000000 0.459594
240.000000 780.000000 0.461530
2120.000000 0.000000 1.775820
1960.000000 0.000000 1.672953
1900.000000 0.000000 1.620600
1820.000000 0.000000 1.565628
1760.000000 0.000000 1.524317
1720.000000 0.000000 1.493708
1680.000000 0.000000 1.458511
1640.000000 0.000000 1.430152
1620.000000 0.000000 1.408054
1580.000000 0.000000 1.381368
1560.000000 0.000000 1.362198
1540.000000 0.000000 1.348507
1520.000000 0.000000 1.330486
1520.000000 0.000000 1.326899
1500.000000 0.000000 1.311594
1500.000000 0.000000 1.309946
1500.000000 0.000000 1.307514
1500.000000 0.000000 1.307250
1520.000000 0.000000 1.317851
1540.000000 0.000000 1.328762
1540.000000 0.000000 1.331386
1580.000000 0.000000 1.354571
1620.000000 0.000000 1.381302
1660.000000 0.000000 1.409327
1700.000000 0.000000 1.438731
1820.000000 0.000000 1.510185
1940.000000 0.000000 1.589018
Source 6 X=200.000000
Reflector 1
X   Z   T
0.000000 740.000000 0.456900
40.000000 740.000000 0.450728
60.000000 740.000000 0.447500
80.000000 740.000000 0.445276
100.000000 740.000000 0.443132
120.000000 740.000000 0.440697
160.000000 740.000000 0.438193
180.000000 740.000000 0.434856
200.000000 740.000000 0.434251
220.000000 740.000000 0.434592
240.000000 740.000000 0.435633
280.000000 740.000000 0.440697
1880.000000 0.000000 1.588614
1780.000000 0.000000 1.521603
1720.000000 0.000000 1.477800
1680.000000 0.000000 1.445693
1660.000000 0.000000 1.416840
1620.000000 0.000000 1.386729
1600.000000 0.000000 1.368574
1580.000000 0.000000 1.345311
1540.000000 0.000000 1.317346
1520.000000 0.000000 1.302700
1500.000000 0.000000 1.287019
1480.000000 0.000000 1.268826
1480.000000 0.000000 1.266037
1460.000000 0.000000 1.247943
1460.000000 0.000000 1.248762
1440.000000 0.000000 1.233812
1440.000000 0.000000 1.232374
1460.000000 0.000000 1.240709
1460.000000 0.000000 1.246147
1480.000000 0.000000 1.253143
1500.000000 0.000000 1.264407
1520.000000 0.000000 1.283167
1540.000000 0.000000 1.300627
1600.000000 0.000000 1.330102
1620.000000 0.000000 1.348662
1700.000000 0.000000 1.398922
1780.000000 0.000000 1.455776
Reflector 2
X   Z   T
20.000000 780.000000 0.473169
40.000000 780.000000 0.470107
80.000000 780.000000 0.464931
100.000000 780.000000 0.463065
120.000000 780.000000 0.461386
160.000000 780.000000 0.459594
180.000000 780.000000 0.458870
200.000000 780.000000 0.458250
220.000000 780.000000 0.458088
240.000000 780.000000 0.459594
280.000000 780.000000 0.461530
2160.000000 0.000000 1.775820
2000.000000 0.000000 1.672953
1940.000000 0.000000 1.620600
1860.000000 0.000000 1.565642
1800.000000 0.000000 1.524317
1760.000000 0.000000 1.493708
1720.000000 0.000000 1.458511
1680.000000 0.000000 1.430152
1660.000000 0.000000 1.408054
1620.000000 0.000000 1.381368
1600.000000 0.000000 1.362198
1580.000000 0.000000 1.348507
1560.000000 0.000000 1.330486
1560.000000 0.000000 1.326899
1540.000000 0.000000 1.312265
1540.000000 0.000000 1.309946
1540.000000 0.000000 1.307514
1540.000000 0.000000 1.307250
1560.000000 0.000000 1.317851
1580.000000 0.000000 1.328762
1580.000000 0.000000 1.331386
1620.000000 0.000000 1.354571
1660.000000 0.000000 1.381302
1700.000000 0.000000 1.409327
1740.000000 0.000000 1.438731
1860.000000 0.000000 1.510185
1980.000000 0.000000 1.589018
Source 7 X=240.000000
Reflector 1
X   Z   T
20.000000 740.000000 0.458243
40.000000 740.000000 0.454242
80.000000 740.000000 0.450728
100.000000 740.000000 0.447500
120.000000 740.000000 0.445276
140.000000 740.000000 0.443132
160.000000 740.000000 0.440697
200.000000 740.000000 0.438193
220.000000 740.000000 0.434856
240.000000 740.000000 0.434251
260.000000 740.000000 0.434592
280.000000 740.000000 0.435633
320.000000 740.000000 0.440697
1920.000000 0.000000 1.588614
1820.000000 0.000000 1.521603
1760.000000 0.000000 1.477801
1720.000000 0.000000 1.445693
1700.000000 0.000000 1.416840
1660.000000 0.000000 1.386729
1640.000000 0.000000 1.371669
1620.000000 0.000000 1.345844
1580.000000 0.000000 1.318026
1560.000000 0.000000 1.302882
1540.000000 0.000000 1.287019
1520.000000 0.000000 1.268826
1520.000000 0.000000 1.266037
1500.000000 0.000000 1.247942
